The 4-Hour Workweek | Timothy Ferriss
Your Money or Your Life | Vicki Robin
The Richest Man in Babylon | George S. Clason
The Compound Effect | Darren Hardy
I Will Teach You To Be Rich | Ramit Sethi
The Total Money Makeover | Dave Ramsey
The Simple Path to Wealth | JL Collins
The Psychology of Human Misjudgment | Charlie Munger
The E-Myth Revisited | Michael Gerber
Good to Great | Jim Collins
The Lean Startup | Eric Ries
The Intelligent Investor | Benjamin Graham
The Little Book of Common Sense Investing | John C. Bogle
