Ikigai | Hector Garcia
The Upside of Irrationality | Dan Ariely
Soros on Soros | George Soros
The Art of Strategy | Avinash Dixit
The Art of Game Design | Jesse Schell
The Design of Everyday Things | Don Norman
Don't Make Me Think | Steve Krug
Lean UX | Jeff Gothelf
Competition Demystified | Bruce Greenwald
The Manual of Ideas | John Spence
The Tipping Point | Malcolm Gladwell
Outliers | Malcolm Gladwell
Blink | Malcolm Gladwell
The Power of Habit | Charles Duhigg
Predictably Irrational | Dan Ariely
Misbehaving | Richard Thaler
Nudge | Richard Thaler
The Alchemy of Finance | George Soros
The Third Wave | Al Ries
The Innovators | Walter Isaacson
